measure,value,period_or_source
fy2025_eps_old_share,17.97,https://www.bankalfalah.com/news-room/annual-results-for-2025-and-2-for-1-stock-split/
fy2025_dividend_old_share,10.5,https://www.bankalfalah.com/news-room/annual-results-for-2025-and-2-for-1-stock-split/
split_factor,2,https://dps.psx.com.pk/download/attachment/273940-1.pdf
hy2025_eps_restated,4.84,https://www.bankalfalah.com/news-room/bank-alfalah-reports-39-rise-in-half-year-2026-profit-after-tax/
hy2026_eps,6.76,https://www.bankalfalah.com/news-room/bank-alfalah-reports-39-rise-in-half-year-2026-profit-after-tax/
hy2026_dividend,3,https://www.bankalfalah.com/news-room/bank-alfalah-reports-39-rise-in-half-year-2026-profit-after-tax/
eps_adjusted,8.985,site calculation from the cited rounded inputs
dividend_adjusted,5.25,site calculation from the cited rounded inputs
fy_payout,58.43071786,site calculation from the cited rounded inputs
hy_growth,39.66942149,site calculation from the cited rounded inputs
hy_payout,44.37869822,site calculation from the cited rounded inputs
